trading_date,sector,sentiment_score,covered_tickers,total_tickers,headline_count,coverage_ratio,score_100,lagged_sentiment_score,lagged_score_100,sentiment_z,sentiment_z_21d_mean
2020-02-05,Healthcare,0.1711337619047619,5,5,50,1.0,58.556688095238094,0.17928047619047618,58.964023809523816,,
2020-02-05,Industrials,0.06556866666666665,4,5,12,0.8,53.27843333333333,0.15771833333333335,57.885916666666674,,
2020-02-05,Materials,0.06436,4,5,9,0.8,53.217999999999996,0.04652,52.32599999999999,,
2020-02-05,RealEstate,0.0,1,5,3,0.2,50.0,0.05302333333333333,52.65116666666667,,
2020-02-05,Tech,0.10652875000000002,4,5,32,0.8,55.326437500000004,0.07460800000000001,53.7304,,
2020-02-05,Utilities,0.03190333333333333,5,5,18,1.0,51.59516666666667,0.11915,55.9575,,
2020-02-06,Comm,0.08966571428571429,5,5,19,1.0,54.483285714285714,-0.006538333333333329,49.67308333333334,,
2020-02-06,Consumer,0.1297788888888889,4,5,24,0.8,56.48894444444444,0.01865351851851852,50.93267592592593,,
2020-02-06,Energy,0.18725666666666668,4,5,11,0.8,59.362833333333334,0.4889691428571429,74.44845714285715,,
2020-02-06,Financials,0.2713986666666667,5,5,11,1.0,63.56993333333334,-0.1472,42.64,,
2020-02-06,Healthcare,0.27695007692307694,5,5,25,1.0,63.847503846153856,0.1711337619047619,58.556688095238094,,
2020-02-06,Industrials,-0.005146666666666667,2,5,6,0.4,49.742666666666665,0.06556866666666665,53.27843333333333,,
2020-02-06,Materials,0.05132111111111111,4,5,14,0.8,52.56605555555556,0.06436,53.217999999999996,,
2020-02-06,RealEstate,0.24698000000000003,4,5,7,0.8,62.349,0.0,50.0,,
2020-02-06,Tech,0.27824944444444444,5,5,22,1.0,63.91247222222223,0.10652875000000002,55.326437500000004,,
2020-02-06,Utilities,0.15116000000000002,4,5,12,0.8,57.558,0.03190333333333333,51.59516666666667,,
2020-02-07,Comm,0.03277599999999999,4,5,13,0.8,51.638799999999996,0.08966571428571429,54.483285714285714,,
2020-02-07,Consumer,0.16136999999999999,4,5,21,0.8,58.0685,0.1297788888888889,56.48894444444444,,
2020-02-07,Energy,0.22275299999999998,5,5,14,1.0,61.13765,0.18725666666666668,59.362833333333334,,
2020-02-07,Financials,0.04199,3,5,9,0.6,52.0995,0.2713986666666667,63.56993333333334,,
2020-02-07,Healthcare,0.2935066666666667,5,5,25,1.0,64.67533333333333,0.27695007692307694,63.847503846153856,,
